,tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres,averageRating,numVotes
67,tt10411954,Hometown Killer,Hometown Killer,2018,87,Thriller,5.8,101
68,tt10428316,Natsamrat,Natsamrat,2018,130,Drama,6.4,5
69,tt10443766,Waiting for Spring,Haru Matsu Bokura,2018,109,Sport,6.8,13
70,tt10467460,Young-ju,Young-ju,2018,100,Drama,5.8,32
71,tt10488892,The Redtails,The Redtails,2018,89,"Adventure,Comedy",3.6,28
72,tt10505100,Sem par nechistykh,Sem par nechistykh,2018,78,"Action,Adventure,Drama",4.7,31
73,tt10509642,"I Go Gaga, My Dear","Bokemasukara, yoroshiku onegaishimasu.",2018,102,Documentary,7.6,5
74,tt10510988,Zuzula,Zuzula,2018,18,"Horror,Thriller",7.8,6
75,tt10515340,At the Door,At the Door,2018,99,Horror,6.1,511
76,tt10544158,Happy Lamento,Happy Lamento,2018,90,Documentary,5.8,6
77,tt10545476,Man Divaneh Nistam,Man Divaneh Nistam,2018,100,"Comedy,Drama",5.3,13
78,tt10556220,The Egg Lasts,L'oeuf dure,2018,113,Comedy,7.6,7
79,tt10564814,700 Requins dans la Nuit,700 Requins dans la Nuit,2018,92,Documentary,7.0,7
80,tt10578106,Blowout: Inside America's Energy Gamble,Blowout: Inside America's Energy Gamble,2018,79,Documentary,6.3,19
81,tt10582738,The Male Gaze: First Kiss,The Male Gaze: First Kiss,2018,98,"Comedy,Drama",5.7,11
82,tt10585156,Khroniki vidika: legendy epokhi VHS,Khroniki vidika: legendy epokhi VHS,2018,178,Documentary,8.5,26
83,tt10590038,Operation Undercover 2: Poisonous Dragon,Operation Undercover 2: Poisonous Dragon,2018,87,"Action,Crime",7.0,21
84,tt10590148,Ghost Boxing 3,Ghost Boxing 3,2018,76,Action,7.1,21
85,tt10590478,Bhagat Singh Di Udeek,Bhagat Singh Di Udeek,2018,96,Drama,6.5,6
86,tt10592884,"Encandilan luces, viaje psicotrópico con Los Síquicos Litoraleños","Encandilan luces, viaje psicotrópico con Los Síquicos Litoraleños",2018,80,Documentary,6.9,7
87,tt10594652,Couteau suisse,Couteau suisse,2018,59,\N,8.2,5
88,tt10615388,Sedução da Carne,Sedução da Carne,2018,70,Drama,6.0,9
89,tt10675920,Tang Men,Tang Men,2018,70,"Action,Adventure",7.2,20
90,tt10697822,Da ming ping yao zhuan,Da ming ping yao zhuan,2018,84,"Action,Fantasy",9.2,5
91,tt10712600,An Inconvenient Goof,An Inconvenient Goof,2018,50,Documentary,7.2,5
